park,year,category,sector,value
BADL,2023,Economic Output,Camping,5286740.0
BADL,2023,Economic Output,Gas,3128207.0
BADL,2023,Economic Output,Groceries,2430941.0
BADL,2023,Economic Output,Lodging,57104119.0
BADL,2023,Economic Output,Recreation Industries,4855215.0
BADL,2023,Economic Output,Restaurants,25254698.0
BADL,2023,Economic Output,Retail,6822380.0
BADL,2023,Economic Output,Secondary Effects,80182247.0
BADL,2023,Economic Output,Transportation,8220013.0
BADL,2023,Jobs,Camping,74.0
BADL,2023,Jobs,Gas,30.0
BADL,2023,Jobs,Groceries,33.0
BADL,2023,Jobs,Lodging,611.0
BADL,2023,Jobs,Recreation Industries,94.0
BADL,2023,Jobs,Restaurants,368.0
BADL,2023,Jobs,Retail,115.0
BADL,2023,Jobs,Secondary Effects,522.0
BADL,2023,Jobs,Transportation,68.0
BADL,2023,Labor Income,Camping,2445107.0
BADL,2023,Labor Income,Gas,885172.0
BADL,2023,Labor Income,Groceries,957402.0
BADL,2023,Labor Income,Lodging,19113943.0
BADL,2023,Labor Income,Recreation Industries,1896383.0
BADL,2023,Labor Income,Restaurants,7940986.0
BADL,2023,Labor Income,Retail,3824947.0
BADL,2023,Labor Income,Secondary Effects,23633435.0
BADL,2023,Labor Income,Transportation,1709345.0
BADL,2023,Non-local Visitor Spending,Camping,5233571.0
BADL,2023,Non-local Visitor Spending,Gas,14002929.0
BADL,2023,Non-local Visitor Spending,Groceries,7195626.0
BADL,2023,Non-local Visitor Spending,Lodging,56536006.0
BADL,2023,Non-local Visitor Spending,Recreation Industries,4762684.0
BADL,2023,Non-local Visitor Spending,Restaurants,24953370.0
BADL,2023,Non-local Visitor Spending,Retail,12126878.0
BADL,2023,Non-local Visitor Spending,Secondary Effects,0.0
BADL,2023,Non-local Visitor Spending,Transportation,8149416.0
BADL,2023,Party Days/Nights,Total,365795.0
BADL,2023,Value Added,Camping,3787146.0
BADL,2023,Value Added,Gas,1632532.0
BADL,2023,Value Added,Groceries,1385418.0
BADL,2023,Value Added,Lodging,37552101.0
BADL,2023,Value Added,Recreation Industries,2296796.0
BADL,2023,Value Added,Restaurants,12159758.0
BADL,2023,Value Added,Retail,4455798.0
BADL,2023,Value Added,Secondary Effects,40569487.0
BADL,2023,Value Added,Transportation,3784497.0
BADL,2023,Visitor Spending,Camping,5286740.0
BADL,2023,Visitor Spending,Gas,14241131.0
BADL,2023,Visitor Spending,Groceries,7320766.0
BADL,2023,Visitor Spending,Lodging,57104119.0
BADL,2023,Visitor Spending,Recreation Industries,4855215.0
BADL,2023,Visitor Spending,Restaurants,25254698.0
BADL,2023,Visitor Spending,Retail,12276350.0
BADL,2023,Visitor Spending,Secondary Effects,0.0
BADL,2023,Visitor Spending,Transportation,8239624.0
BADL,2023,Visits,Total,1046400.0
BADL,2024,Economic Output,Camping,5841509.0
BADL,2024,Economic Output,Gas,2800343.0
BADL,2024,Economic Output,Groceries,2225925.0
BADL,2024,Economic Output,Lodging,60964569.0
BADL,2024,Economic Output,Recreation Industries,5122014.0
BADL,2024,Economic Output,Restaurants,26810808.0
BADL,2024,Economic Output,Retail,6937867.0
BADL,2024,Economic Output,Secondary Effects,71975883.0
BADL,2024,Economic Output,Transportation,8734433.0
BADL,2024,Jobs,Camping,46.0
BADL,2024,Jobs,Gas,22.0
BADL,2024,Jobs,Groceries,26.0
BADL,2024,Jobs,Lodging,441.0
BADL,2024,Jobs,Recreation Industries,75.0
BADL,2024,Jobs,Restaurants,267.0
BADL,2024,Jobs,Retail,92.0
BADL,2024,Jobs,Secondary Effects,410.0
BADL,2024,Jobs,Transportation,32.0
BADL,2024,Labor Income,Camping,1852065.0
BADL,2024,Labor Income,Gas,847028.0
BADL,2024,Labor Income,Groceries,794451.0
BADL,2024,Labor Income,Lodging,17370692.0
BADL,2024,Labor Income,Recreation Industries,2032710.0
BADL,2024,Labor Income,Restaurants,7475554.0
BADL,2024,Labor Income,Retail,3705704.0
BADL,2024,Labor Income,Secondary Effects,22151487.0
BADL,2024,Labor Income,Transportation,2670831.0
BADL,2024,Non-local Visitor Spending,Camping,5781795.0
